Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D43,1N4148W,D_SOD-123,141.65,-124.45,0.0,top
D44,1N4148W,D_SOD-123,134.15,-137.2,180.0,top
D45,1N4148W,D_SOD-123,139.15,-137.2,180.0,top
D46,1N4148W,D_SOD-123,140.9,-134.45,180.0,top
D47,1N4148W,D_SOD-123,141.6,-170.088,90.0,top
D48,1N4148W,D_SOD-123,137.2,-162.288,180.0,top
D49,LED_Dual_KAK,LED_D3.0mm-3,165.147,-88.950736,180.0,top
D50,1N4148W,D_SOD-123,162.85,-249.950736,0.0,top
D51,1N4148W,D_SOD-123,168.6,-245.950736,180.0,top
D52,1N4148W,D_SOD-123,168.6,-249.950736,0.0,top
D53,1N4148W,D_SOD-123,169.85,-118.950736,0.0,top
D54,1N4148W,D_SOD-123,169.85,-121.700736,180.0,top
D55,1N4148W,D_SOD-123,169.85,-124.450736,0.0,top
D56,1N4148W,D_SOD-123,162.35,-137.200736,180.0,top
D57,1N4148W,D_SOD-123,167.35,-137.200736,180.0,top
D58,1N4148W,D_SOD-123,169.1,-134.450736,180.0,top
D59,1N4148W,D_SOD-123,169.8,-170.088736,90.0,top
D60,1N4148W,D_SOD-123,165.4,-162.288736,180.0,top
D61,LED_Dual_KAK,LED_D3.0mm-3,151.047,-88.950736,180.0,top
D62,1N4148W,D_SOD-123,148.75,-249.950736,0.0,top
D63,1N4148W,D_SOD-123,154.5,-245.950736,180.0,top
D64,1N4148W,D_SOD-123,154.5,-249.950736,0.0,top
D65,1N4148W,D_SOD-123,155.75,-118.950736,0.0,top
D66,1N4148W,D_SOD-123,155.75,-121.700736,180.0,top
D67,1N4148W,D_SOD-123,155.75,-124.450736,0.0,top
D68,1N4148W,D_SOD-123,148.25,-137.200736,180.0,top
D69,1N4148W,D_SOD-123,153.25,-137.200736,180.0,top
D70,1N4148W,D_SOD-123,155.0,-134.450736,180.0,top
D71,1N4148W,D_SOD-123,155.7,-170.088736,90.0,top
D72,1N4148W,D_SOD-123,151.3,-162.288736,180.0,top
D73,LED_Dual_KAK,LED_D3.0mm-3,179.247,-88.950736,180.0,top
D74,1N4148W,D_SOD-123,176.95,-249.950736,0.0,top
D75,1N4148W,D_SOD-123,182.7,-245.950736,180.0,top
D76,1N4148W,D_SOD-123,182.7,-249.950736,0.0,top
D77,1N4148W,D_SOD-123,183.95,-118.950736,0.0,top
D78,1N4148W,D_SOD-123,183.95,-121.700736,180.0,top
D79,1N4148W,D_SOD-123,183.95,-124.450736,0.0,top
D80,1N4148W,D_SOD-123,176.45,-137.200736,180.0,top
D81,1N4148W,D_SOD-123,181.45,-137.200736,180.0,top
D82,1N4148W,D_SOD-123,183.2,-134.450736,180.0,top
D83,1N4148W,D_SOD-123,183.9,-170.088736,90.0,top
D84,1N4148W,D_SOD-123,179.5,-162.288736,180.0,top
D85,LED_Dual_KAK,LED_D3.0mm-3,193.296999,-88.950736,180.0,top
D86,1N4148W,D_SOD-123,191.0,-249.950736,0.0,top
D87,1N4148W,D_SOD-123,196.75,-245.950736,180.0,top
D88,1N4148W,D_SOD-123,196.75,-249.950736,0.0,top
D89,1N4148W,D_SOD-123,198.0,-118.950736,0.0,top
D90,1N4148W,D_SOD-123,198.0,-121.700736,180.0,top
D91,1N4148W,D_SOD-123,198.0,-124.450736,0.0,top
D92,1N4148W,D_SOD-123,190.5,-137.200736,180.0,top
D93,1N4148W,D_SOD-123,195.5,-137.200736,180.0,top
D94,1N4148W,D_SOD-123,197.25,-134.450736,180.0,top
D95,1N4148W,D_SOD-123,197.95,-170.088736,90.0,top
D96,1N4148W,D_SOD-123,193.55,-162.288736,180.0,top
D97,LED_Dual_KAK,LED_D3.0mm-3,207.397,-88.950736,180.0,top
D98,1N4148W,D_SOD-123,205.1,-249.950736,0.0,top
D99,1N4148W,D_SOD-123,210.85,-245.950736,180.0,top
D100,1N4148W,D_SOD-123,210.85,-249.950736,0.0,top
D101,1N4148W,D_SOD-123,212.1,-118.950736,0.0,top
D102,1N4148W,D_SOD-123,212.1,-121.700736,180.0,top
D103,1N4148W,D_SOD-123,212.1,-124.450736,0.0,top
D104,1N4148W,D_SOD-123,204.6,-137.200736,180.0,top
D105,1N4148W,D_SOD-123,209.6,-137.200736,180.0,top
D106,1N4148W,D_SOD-123,211.35,-134.450736,180.0,top
D107,1N4148W,D_SOD-123,212.05,-170.088736,90.0,top
D108,1N4148W,D_SOD-123,207.65,-162.288736,180.0,top
D109,LED_Dual_KAK,LED_D3.0mm-3,221.497,-88.950736,180.0,top
D110,1N4148W,D_SOD-123,219.2,-249.950736,0.0,top
D111,1N4148W,D_SOD-123,224.95,-245.950736,180.0,top
D112,1N4148W,D_SOD-123,224.95,-249.950736,0.0,top
D113,1N4148W,D_SOD-123,226.2,-118.950736,0.0,top
D114,1N4148W,D_SOD-123,226.2,-121.700736,180.0,top
D115,1N4148W,D_SOD-123,226.2,-124.450736,0.0,top
D116,1N4148W,D_SOD-123,218.7,-137.200736,180.0,top
D117,1N4148W,D_SOD-123,223.7,-137.200736,180.0,top
D118,1N4148W,D_SOD-123,225.45,-134.450736,180.0,top
D119,1N4148W,D_SOD-123,226.15,-170.088736,90.0,top
D120,1N4148W,D_SOD-123,221.75,-162.288736,180.0,top
D121,LED_Dual_KAK,LED_D3.0mm-3,235.597,-89.000736,180.0,top
D122,1N4148W,D_SOD-123,233.3,-250.000736,0.0,top
D123,1N4148W,D_SOD-123,239.05,-246.000736,180.0,top
D124,1N4148W,D_SOD-123,239.05,-250.000736,0.0,top
D125,1N4148W,D_SOD-123,240.3,-119.000736,0.0,top
D126,1N4148W,D_SOD-123,240.3,-121.750736,180.0,top
D127,1N4148W,D_SOD-123,240.3,-124.500736,0.0,top
D128,1N4148W,D_SOD-123,232.8,-137.250736,180.0,top
D129,1N4148W,D_SOD-123,237.8,-137.250736,180.0,top
D130,1N4148W,D_SOD-123,239.55,-134.500736,180.0,top
D131,1N4148W,D_SOD-123,240.25,-170.138736,90.0,top
D132,1N4148W,D_SOD-123,235.85,-162.338736,180.0,top
D133,LED_Dual_KAK,LED_D3.0mm-3,249.697,-89.0,180.0,top
D134,1N4148W,D_SOD-123,247.4,-250.0,0.0,top
D135,1N4148W,D_SOD-123,253.15,-246.0,180.0,top
D136,1N4148W,D_SOD-123,253.15,-250.0,0.0,top
D137,1N4148W,D_SOD-123,254.4,-119.0,0.0,top
D138,1N4148W,D_SOD-123,254.4,-121.75,180.0,top
D139,1N4148W,D_SOD-123,254.4,-124.5,0.0,top
D140,1N4148W,D_SOD-123,246.9,-137.25,180.0,top
D141,1N4148W,D_SOD-123,251.9,-137.25,180.0,top
D142,1N4148W,D_SOD-123,253.65,-134.5,180.0,top
D143,1N4148W,D_SOD-123,254.35,-170.138,90.0,top
D144,1N4148W,D_SOD-123,249.95,-162.338,180.0,top
D145,LED,LED_0603_1608Metric,77.5,-215.0,90.0,top
D146,LED,LED_0603_1608Metric,77.5,-239.1,90.0,top
D147,LED,LED_0603_1608Metric,77.2,-273.8,90.0,top
DNP1,Power_Resistor,R_Axial_Power_L50.0mm_W9.0mm_P55.88mm,109.3635,-334.7345,-90.0,top
